Epoch:188   Accuracy:95.04
Epoch:189   Accuracy:95.16
Epoch:190   Accuracy:94.95
Epoch:191   Accuracy:95.12
Epoch:192   Accuracy:94.96
Epoch:193   Accuracy:95.18
Epoch:194   Accuracy:95.13
Epoch:195   Accuracy:95.12
Epoch:196   Accuracy:95.21
Epoch:197   Accuracy:95.25
Epoch:198   Accuracy:95.42
Epoch:199   Accuracy:95.20
Epoch:200   Accuracy:95.30
Epoch:201   Accuracy:95.10
Epoch:202   Accuracy:95.26
Epoch:203   Accuracy:95.14
Epoch:204   Accuracy:95.22
Epoch:205   Accuracy:95.17
Epoch:206   Accuracy:95.27
Epoch:207   Accuracy:95.22
Epoch:208   Accuracy:95.35
Epoch:209   Accuracy:95.16
Epoch:210   Accuracy:95.07
Epoch:211   Accuracy:95.41
Epoch:212   Accuracy:95.25
Epoch:213   Accuracy:95.14
Epoch:214   Accuracy:95.22
Epoch:215   Accuracy:95.19
Epoch:216   Accuracy:95.17
Epoch:217   Accuracy:95.08
Epoch:218   Accuracy:95.26
Epoch:219   Accuracy:95.16
Epoch:220   Accuracy:95.21
Epoch:221   Accuracy:95.41
Epoch:222   Accuracy:95.34
Epoch:223   Accuracy:95.17
Epoch:224   Accuracy:95.23
Epoch:225   Accuracy:95.02
Epoch:226   Accuracy:95.30
Epoch:227   Accuracy:95.16
Epoch:228   Accuracy:95.18
Epoch:229   Accuracy:95.46
Epoch:230   Accuracy:95.38
Epoch:231   Accuracy:95.35
Epoch:232   Accuracy:95.13
Epoch:233   Accuracy:95.10
Epoch:234   Accuracy:95.21
Epoch:235   Accuracy:95.27
Epoch:236   Accuracy:95.38
Epoch:237   Accuracy:95.44
Epoch:238   Accuracy:95.29
Epoch:239   Accuracy:95.21
Epoch:240   Accuracy:95.16
Epoch:241   Accuracy:95.55
Epoch:242   Accuracy:95.16
Epoch:243   Accuracy:95.13
Epoch:244   Accuracy:95.32
Epoch:245   Accuracy:94.96
Epoch:246   Accuracy:95.43
Epoch:247   Accuracy:95.31
Epoch:248   Accuracy:95.24
Epoch:249   Accuracy:95.14
Epoch:250   Accuracy:95.27
Epoch:251   Accuracy:95.22
Epoch:252   Accuracy:95.19
Epoch:253   Accuracy:95.16
Epoch:254   Accuracy:95.19
Epoch:255   Accuracy:95.29
Epoch:256   Accuracy:95.34
Epoch:257   Accuracy:95.26
Epoch:258   Accuracy:95.30
